Value,Count_R,Count_G,Count_B
648,7777,21752,7355
649,8596,29799,8524
650,8743,31066,9019
651,10126,23927,10329
652,10525,14579,10809
653,10468,12057,10540
654,8213,9217,7919
655,5133,7495,4723
656,4600,6826,4611
657,4696,6943,4663
658,3676,5787,3812
659,3129,3263,2963
660,2519,2320,2576
661,2306,1354,2256
662,2152,889,2058
663,2268,907,2085
664,2548,772,2448
665,1360,449,1676
666,887,280,919
667,744,218,753
668,657,154,599
669,534,178,542
670,400,154,441
671,324,121,317
672,262,106,213
673,207,92,204
674,134,83,127
675,68,77,112
676,94,65,92
677,79,55,84
678,56,40,65
679,53,35,51
680,51,31,56
681,44,23,41
682,43,19,40
683,39,15,55
684,47,12,41
685,27,16,35
686,39,8,43
687,32,13,33
688,43,6,44
689,34,14,41
690,31,9,25
691,26,15,21
692,17,14,23
693,22,18,26
694,12,19,12
695,12,10,18
696,10,7,18
697,10,13,12
698,9,16,6
699,5,10,1
700,3,11,3
701,5,11,4
702,5,11,2
703,1,5,7
704,0,0,0
705,0,0,0
706,0,0,0
707,0,0,0
708,1926,14480,1465
709,6719,12774,6760
710,4885,22143,4647
711,6646,16475,6396
712,7684,22240,7312
713,8102,29121,8246
714,8740,29319,8692
715,10015,23088,10084
716,10477,14209,10785
717,10360,11678,10423
718,7773,8772,7471
719,4732,7312,4568
720,4671,6500,4562
721,4675,6982,4734
722,3606,5591,3683
723,2856,3073,2916
724,2538,2185,2454
725,2220,1127,2174
726,2155,910,2035
727,2221,887,2210
728,2360,762,2378
729,1241,419,1465
730,781,227,942
731,738,223,778
732,645,167,640
733,514,151,521
734,382,123,426
735,261,103,288
736,263,102,259
737,185,86,193
738,117,78,117
739,95,69,92
740,78,70,78
741,73,67,59
742,66,41,76
743,78,38,58
744,60,26,71
745,39,16,49
746,49,21,47
747,40,14,42
748,37,20,43
749,31,14,27
750,32,7,35
751,35,10,32
752,25,16,29
753,23,8,18
754,23,11,22
755,18,11,13
756,24,8,23
757,24,12,24
758,16,12,19
759,12,10,14
760,11,10,14
761,9,10,4
762,7,8,11
763,2,6,3
764,4,9,4
765,5,10,5
766,5,10,3
767,3,9,4
768,0,0,0
769,0,0,0
770,0,0,0
771,0,0,0
772,2975,16474,2256
773,6148,13182,6458
774,4968,21919,4727
775,6690,17049,6407
776,7885,22851,7268
777,8134,29618,8102
778,8649,29580,8761
779,10255,23156,10548
780,10802,14499,11104
781,10154,11834,10513
782,7604,8549,7200
783,4727,7488,4573
784,4772,6695,4673
785,4776,7381,4883
786,3530,5568,3807
787,2927,3012,2915
788,2565,2019,2553
789,2342,1224,2269
790,2329,959,2204
791,2265,910,2250
792,2341,700,2399
793,1173,435,1560
794,888,259,1024
795,773,233,756
796,574,151,646
797,538,156,502
798,363,137,392
799,278,130,322
800,224,106,254
801,191,99,204
802,126,73,140
803,76,77,80
804,70,71,81
805,66,50,83
806,62,51,77
807,50,31,51
808,50,21,44
809,55,18,66
810,51,18,65
811,43,12,45
812,21,14,50
813,36,12,44
814,33,9,41
815,29,16,28
816,30,11,25
817,18,12,26
818,19,21,37
819,28,11,28
820,22,10,26
821,21,11,28
822,14,6,22
823,16,8,13
824,9,9,19
825,5,10,11
826,7,10,4
827,3,12,8
828,4,6,2
829,6,7,2
830,3,12,3
831,8,5,2
832,0,0,0
833,0,0,0
834,0,0,0
835,0,0,0
836,4002,18524,3217
837,5915,13523,5908
838,4812,21411,4724
839,6460,16704,6395
840,7612,22836,7199
841,7702,29103,8060
842,8801,29086,8845
843,10250,22195,10350
844,10507,13698,10807
845,9830,10968,9977
846,6992,8299,6723
847,4633,7334,4543
848,4831,6505,4684
849,4683,7089,4482
850,3454,5154,3567
851,2866,2946,2797
852,2535,1950,2408
853,2347,1113,2235
854,2134,913,2153
855,2288,825,2071
856,2224,704,2299
857,1208,439,1451
858,862,258,850
859,776,196,720
860,566,192,611
861,481,144,513
862,363,112,443
863,265,123,335
864,237,99,279
865,173,118,171
866,104,84,132
867,80,59,96
868,81,77,68
869,45,43,54
870,65,45,56
871,62,25,58
872,59,31,53
873,67,23,44
874,58,12,50
875,62,15,48
876,43,10,43
877,44,9,38
878,52,13,29
879,30,9,29
880,24,11,30
881,29,9,33
882,29,7,25
883,29,14,26
884,23,5,25
885,22,4,17
886,15,10,18
887,14,9,9
888,15,10,10
889,4,15,5
890,10,9,6
891,10,7,5
892,2,11,7
893,2,8,3
894,6,3,4
895,1,8,1
896,0,0,0
897,0,0,0
898,0,0,0
899,0,0,0
900,4958,21623,4092
901,5848,14337,5701
902,5091,20928,4670
903,6337,17100,6267
904,8000,23868,7518
905,7901,30579,8429
906,9172,30042,9180
907,10419,21920,10541
908,10533,13145,10605
909,10091,11038,10175
910,6961,8500,6622
911,4720,7762,4635
912,4894,6612,4685
913,4541,7187,4528
914,3494,4780,3578
915,2965,3000,2887
916,2467,2008,2508
917,2358,1148,2231
918,2203,906,2165
919,2341,859,2281
920,2246,665,2260
921,1239,405,1452
922,841,243,870
923,704,206,737
924,571,150,640
925,515,151,518
926,351,114,432
