Value,Count_R,Count_G,Count_B
628,13,29,16
629,6,19,13
630,5,13,8
631,11,17,6
632,5,10,5
633,1,9,8
634,3,6,3
635,7,13,6
636,4,8,4
637,0,6,6
638,4,11,7
639,3,7,4
640,0,0,0
641,0,0,0
642,0,0,0
643,0,0,0
644,3188,6047,2859
645,5579,11691,6113
646,3568,7968,4400
647,2910,7504,4594
648,3443,10130,6686
649,6469,16047,9576
650,10505,21398,10899
651,12037,21724,9694
652,10500,20106,9608
653,9128,18085,8958
654,7384,14661,7275
655,6367,12503,6135
656,6672,12638,5969
657,5368,10656,5288
658,5008,9569,4562
659,3937,7596,3658
660,3248,6143,2895
661,2818,5098,2280
662,2486,4648,2160
663,2545,4526,1980
664,2758,4740,1981
665,1662,2797,1135
666,956,1725,769
667,769,1496,727
668,770,1445,675
669,726,1303,577
670,640,1156,516
671,496,883,387
672,282,552,270
673,265,486,221
674,227,399,172
675,175,316,141
676,146,286,140
677,130,252,122
678,94,185,91
679,84,142,58
680,55,114,59
681,29,66,37
682,31,74,43
683,31,65,34
684,28,58,30
685,20,54,34
686,33,56,23
687,22,51,29
688,29,54,25
689,27,42,15
690,15,31,16
691,18,33,15
692,15,23,8
693,5,10,5
694,6,13,7
695,7,11,4
696,6,14,8
697,9,11,2
698,6,10,4
699,5,12,7
700,2,6,4
701,7,14,7
702,7,17,10
703,4,8,4
704,0,0,0
705,0,0,0
706,0,0,0
707,0,0,0
708,3786,7713,3927
709,5086,10703,5618
710,3342,7409,4068
711,2861,7576,4718
712,3641,10494,6848
713,6646,15868,9223
714,10364,20857,10499
715,11737,21279,9544
716,10398,20046,9650
717,9039,17818,8775
718,6996,13703,6708
719,6147,12228,6081
720,6568,12375,5806
721,5315,10578,5263
722,4987,9532,4546
723,3596,7110,3515
724,3100,5883,2783
725,2691,4983,2292
726,2510,4595,2085
727,2542,4606,2064
728,2559,4457,1900
729,1505,2570,1066
730,864,1578,714
731,752,1486,734
732,712,1409,697
733,761,1427,666
734,626,1079,453
735,482,875,393
736,343,607,264
737,243,447,204
738,177,358,181
739,190,334,144
740,139,259,120
741,135,236,101
742,112,203,91
743,76,126,50
744,47,97,50
745,58,92,34
746,36,87,51
747,33,61,28
748,25,64,39
749,25,49,24
750,35,62,27
751,26,43,17
752,20,39,19
753,25,35,10
754,11,24,13
755,13,19,6
756,11,14,3
757,4,15,11
758,6,12,6
759,3,5,2
760,10,10,0
761,2,3,1
762,2,5,3
763,3,5,2
764,3,7,4
765,7,9,2
766,6,14,8
767,6,8,2
768,0,0,0
769,0,0,0
770,0,0,0
771,0,0,0
772,4351,9091,4740
773,5075,10597,5520
774,3456,7555,4099
775,3078,7968,4889
776,3691,10897,7198
777,6727,16179,9448
778,10574,21024,10467
779,11954,21851,9897
780,10768,20721,9955
781,8929,17716,8787
782,6675,13311,6634
783,6253,12321,6067
784,6472,12434,5960
785,5398,10857,5456
786,4907,9384,4476
787,3591,6971,3380
788,3152,5877,2725
789,2791,5078,2287
790,2693,4870,2177
791,2587,4577,1990
792,2605,4453,1848
793,1531,2517,986
794,887,1684,797
795,781,1559,778
796,738,1425,687
797,730,1292,562
798,634,1121,487
799,462,782,320
800,341,636,295
801,258,460,202
802,190,386,196
803,157,273,116
804,131,259,128
805,136,233,97
806,88,163,75
807,58,119,61
808,58,107,49
809,48,88,40
810,33,69,36
811,20,51,31
812,34,56,22
813,28,59,31
814,32,63,31
815,33,58,25
816,13,35,22
817,19,34,15
818,16,33,17
819,19,31,12
820,12,20,8
821,9,22,13
822,5,13,8
823,6,11,5
824,6,14,8
825,6,9,3
826,4,8,4
827,3,11,8
828,6,12,6
829,6,9,3
830,2,5,3
831,3,7,4
832,0,0,0
833,0,0,0
834,0,0,0
835,0,0,0
836,5185,10745,5560
837,4678,9780,5102
838,3250,7368,4120
839,2949,7685,4735
840,3739,10921,7172
841,6941,16321,9373
842,10936,21220,10284
843,11750,21219,9471
844,10377,19744,9363
845,8657,17129,8474
846,6460,12815,6359
847,6440,12566,6126
848,6344,12040,5697
849,5345,10605,5263
850,4583,8664,4079
851,3431,6740,3307
852,3124,5737,2614
853,2699,4901,2202
854,2665,4697,2034
855,2608,4616,2007
856,2556,4346,1790
857,1397,2443,1046
858,830,1643,813
859,766,1488,722
860,715,1342,627
861,704,1281,577
862,595,1064,469
863,427,797,370
864,292,568,276
865,217,430,213
866,192,367,175
867,161,291,130
868,141,266,125
869,127,238,111
870,92,168,76
871,72,150,78
872,48,92,44
873,35,69,34
874,51,90,39
875,39,69,30
876,26,50,24
877,27,58,31
878,23,45,22
879,31,57,26
880,17,42,25
881,15,31,16
882,9,23,14
883,8,17,9
884,11,17,6
885,4,13,9
886,4,12,8
887,1,5,4
888,1,7,6
889,6,13,7
890,3,6,3
891,5,11,6
892,2,7,5
893,2,7,5
894,0,5,5
895,5,10,5
896,0,0,0
897,0,0,0
898,0,0,0
899,0,0,0
900,5894,12248,6354
901,4797,10147,5349
902,3159,7102,3943
903,3073,7875,4801
904,3963,11684,7710
905,7626,17130,9498
906,11417,21792,10385
907,11487,20838,9355
908,9994,19531,9540
909,8617,16942,8327
910,6647,12953,6304
911,6672,13194,6522
912,6263,12062,5796
913,5349,10649,5303
914,4570,8714,4145
915,3561,6993,3430
916,3117,5854,2736
917,2760,5023,2263
918,2559,4702,2142
919,2575,4626,2051
920,2602,4464,1862
921,1497,2443,946
922,837,1602,765
923,775,1497,722
924,736,1410,674
925,721,1350,629
926,613,1089,476
927,467,821,354
928,301,577,276
929,224,431,207
930,183,343,160
931,191,348,157
932,141,250,109
933,115,203,88
934,108,208,100
935,71,138,67
936,47,97,50
937,51,91,40
938,37,66,29
939,27,65,38
940,33,63,30
941,24,59,35
942,33,57,24
943,24,48,24
944,28,53,25
945,16,36,20
946,11,26,15
947,13,24,11
948,10,18,8
949,10,16,6
950,6,13,7
951,1,6,5
952,2,12,10
953,2,4,2
954,1,4,3
955,8,14,6
956,7,12,5
957,7,12,5
958,9,13,4
959,3,8,5
960,0,0,0
961,0,0,0
962,0,0,0
963,0,0,0
964,6536,13244,6708
965,4409,9348,4939
966,3027,7084,4058
967,2879,7674,4796
968,4235,12234,7997
969,7878,17483,9607
970,11197,21171,9981
971,11188,20140,8948
972,9988,19231,9245
973,8623,17099,8476
974,6494,12695,6202
975,6602,12722,6123
976,6093,11569,5475
977,5138,10345,5203
978,4545,8589,4043
979,3464,6817,3351
980,3060,5680,2620
981,2580,4669,2090
982,2585,4594,2008
983,2629,4649,2019
984,2490,4195,1705
985,1326,2282,956
986,794,1518,724
987,751,1444,693
988,771,1473,702
989,666,1211,545
990,605,1046,441
991,430,748,318
992,309,564,255
993,227,402,175
994,187,346,159
995,163,324,161
996,148,273,125
997,129,226,97
998,96,175,79
999,50,128,78
1000,49,99,50
1001,31,85,54
1002,46,78,32
1003,33,60,26
1004,28,56,28
1005,27,58,31
1006,24,55,31
1007,23,45,22
1008,28,44,16
1009,11,29,18
1010,12,29,17
1011,12,26,14
1012,8,19,11
1013,5,13,8
1014,1,5,4
1015,2,11,9
1016,3,7,4
1017,2,12,10
1018,4,14,10
1019,5,11,6
1020,3,10,7
1021,0,7,7
1022,3,8,5
1023,62069,124893,62824
