Value,Count
39334,240
39398,205
39462,210
39526,228
39590,235
39654,257
39718,221
39782,241
39846,225
39910,230
39975,247
40039,195
40103,214
40167,199
40231,195
40295,205
40359,211
40423,217
40487,206
40551,230
40615,202
40679,196
40743,194
40807,201
40871,196
40935,191
41000,191
41064,184
41128,228
41192,206
41256,188
41320,221
41384,215
41448,206
41512,183
41576,222
41640,193
41704,188
41768,204
41832,175
41896,197
41960,205
42025,199
42089,195
42153,215
42217,171
42281,174
42345,190
42409,201
42473,170
42537,169
42601,188
42665,180
42729,184
42793,181
42857,186
42921,191
42985,168
43050,156
43114,157
43178,162
43242,168
43306,148
43370,154
43434,161
43498,146
43562,141
43626,144
43690,146
43754,154
43818,171
43882,138
43946,128
44010,146
44075,120
44139,128
44203,137
44267,121
44331,133
44395,125
44459,132
44523,110
44587,136
44651,122
44715,124
44779,125
44843,105
44907,99
44971,99
45035,88
45100,112
45164,97
45228,101
45292,99
45356,117
45420,90
45484,81
45548,96
45612,80
45676,94
45740,106
45804,98
45868,83
45932,82
45996,74
46060,77
46125,76
46189,81
46253,87
46317,85
46381,108
46445,79
46509,86
46573,81
46637,75
46701,96
46765,81
46829,88
46893,82
46957,86
47021,83
47085,67
47150,90
47214,80
47278,86
47342,70
47406,74
47470,80
47534,72
47598,80
47662,64
47726,64
47790,83
47854,66
47918,81
47982,94
48046,77
48110,72
48175,69
48239,63
48303,75
48367,61
48431,71
48495,79
48559,67
48623,67
48687,66
48751,72
48815,64
48879,62
48943,58
49007,63
49071,79
49135,61
49200,61
49264,68
49328,59
49392,45
49456,62
49520,68
49584,70
49648,53
49712,64
49776,57
49840,58
49904,62
49968,51
50032,43
50096,47
50160,67
50225,73
50289,36
50353,52
50417,41
50481,48
50545,37
50609,33
50673,42
50737,47
50801,44
50865,36
50929,47
50993,33
51057,24
51121,35
51185,39
51250,30
51314,24
51378,25
51442,39
51506,33
51570,34
51634,36
51698,30
51762,32
51826,34
51890,32
51954,31
52018,37
52082,34
52146,35
52210,38
52275,35
52339,30
52403,32
52467,29
52531,30
52595,27
52659,34
52723,28
52787,32
52851,38
52915,32
52979,34
53043,20
53107,29
53171,36
53235,27
53300,22
53364,34
53428,35
53492,23
53556,30
53620,28
53684,29
53748,34
53812,31
53876,34
53940,27
54004,27
54068,21
54132,24
54196,26
54260,25
54325,24
54389,30
54453,39
54517,36
54581,28
54645,29
54709,29
54773,29
54837,28
54901,23
54965,19
55029,26
55093,26
55157,25
55221,21
55285,21
55350,21
55414,26
55478,23
55542,30
55606,19
55670,28
55734,16
55798,14
55862,28
55926,26
55990,34
56054,23
56118,24
56182,30
56246,21
56310,36
56375,31
56439,27
56503,30
56567,26
56631,25
56695,26
56759,24
56823,29
56887,25
56951,24
57015,23
57079,23
57143,22
57207,28
57271,25
57335,19
57400,28
57464,32
57528,33
57592,26
57656,22
57720,24
57784,20
57848,27
57912,26
57976,22
58040,23
58104,22
58168,20
58232,25
58296,18
58360,19
58425,30
58489,31
58553,19
58617,23
58681,24
58745,16
58809,24
58873,32
58937,26
59001,33
59065,13
59129,23
59193,28
59257,25
59321,29
59385,14
59450,28
59514,24
59578,24
59642,25
59706,29
59770,15
59834,34
59898,18
59962,21
60026,25
60090,19
60154,31
60218,26
60282,26
60346,26
60410,18
60475,18
60539,23
60603,18
60667,26
60731,25
60795,23
60859,24
60923,18
60987,16
61051,29
61115,17
61179,24
61243,27
61307,21
61371,29
61435,22
61500,28
61564,26
61628,28
61692,19
61756,27
61820,35
61884,20
61948,25
62012,22
62076,28
62140,29
62204,31
62268,24
62332,25
62396,29
62460,17
62525,16
62589,27
62653,19
62717,22
62781,29
62845,35
62909,15
62973,41
63037,15
63101,20
63165,27
63229,33
63293,24
63357,29
63421,22
63485,25
63550,26
63614,27
63678,15
63742,18
63806,18
63870,22
63934,22
63998,27
64062,31
64126,22
64190,27
64254,35
64318,23
64382,36
64446,21
64510,29
64575,17
64639,26
64703,24
64767,23
64831,27
64895,25
64959,23
65023,16
65087,22
65151,23
65215,20
65279,17
65343,18
65407,21
65471,22
65535,359551
